STE00000001	No Screenshot Taken Popup
STE00002335	Use Hit Location In Cinematic Killcams
STE00002336	Make the (non-VATS) cinematic killcam focus on the hit body part.
STE00002337	Scale Radio Volume
STE00002338	Scale the volume of radio music and conversations independently.
STE00002339	Music Scale
STE00002340	Scale applied to radio music volume.
STE00002341	Dialogue Scale
STE00002342	Scale applied to radio dialogue volume.
STE00002343	VATS Throwables Use Target Visibility
STE00002344	Scale thrown (non-grenade) hit percentages based on body part visibility.
STE00002345	VATS Stop Following Dead Targets
STE00002346	Stop rotating to follow targets once they are dead.
STE00002347	Replace Pause Menu Help With Console
STE00002348	Replace the 'Help' pause menu button with a button for opening the console.
STE00002349	Auto-Read Notes
STE00002350	Automatically open the note menu when notes are added to the player in dialog, containers or barter. Requires Book Menu Restored.
STE00002351	Holotape Support
STE00002352	Automatically play holotapes (after dialog ends).
STE00002353	Title shown in the holotape confirmation messagebox.
STE00002354	Text shown in the holotape confirmation messagebox (leave blank to skip messagebox).
STE00002355	Hostiles Prioritize Player
STE00002356	Force attackers to prioritize player over companions.
STE00002357	Start-Combat Swap to Player Chance
STE00002358	Chance to override a companion with player on combat start.
STE00002359	Mid-Combat Swap to Player Chance
STE00002360	Chance to override a companion with player during combat.
STE00002361	Required Player Detection Level
STE00002362	Detection level required to switch to targeting the player.
STE00002363	Show Tagged Skills in Bold
STE00002364	Show tag skills in bold in the Stats menu.
STE00002365	HUD Max Compass Ticks
STE00002366	Set the maximum NPCs to show on compass, overriding the vanilla gamesetting and allowing more than the vanilla maximum of 10.
STE00002367	Max NPCs on Compass
STE00002368	Custom Date Format
STE00002369	Use a custom date format for the Pip-Boy and Sleep/Wait menus.
STE00002370	Date Format
STE00002371	MM.DD.YY
STE00002372	DD.MM.YY
STE00002373	YY.MM.DD
STE00002374	Restore Locked Door Sound
STE00002375	Play the unused DRSLocked sound when activating a lock you can't open.
STE00002376	By source mod first, alphabetically
STE00002377	Show in PipBoy
STE00002378	Show mod name in the PipBoy.
STE00002379	Dialog Menu Show Topic IDs
STE00002380	Show the topic editor id beside topics in the Dialog Menu.
STE00002381	Allow Character Radiation
STE00002382	Allow radiation to apply to Characters instead of only Creatures and the player.
STE00002383	Apply Radiation Stages
STE00002384	Allow radiation stages to apply to everyone, not just the player.
STE00002385	Radiation Causes Radio Static
STE00002386	Add static to the pipboy radio when in an irradiated area.[CRLF]Signal Strength is between 0 and 100.[CRLF]Formula: Signal Strength -= fStaticMult * RadiationLevel
STE00002387	Radiation Multiplier
STE00002388	Multiplier applied to radiation.
STE00002389	None
STE00002390	Cookable Grenades
STE00002391	Holding grenades decreases their detonation timer.
STE00002392	No grenade distance increase
STE00002393	Always throw grenades the same distance regardless of time held.
STE00002394	Overcooked grenades explode
STE00002395	Overcooked grenades will explode in your hand.
STE00002396	Minimum detonation time
STE00002397	Minimum detonation time for thrown grenades.
STE00002398	Play cooking sound
STE00002399	Play a sound every second a grenade is held.
STE00002400	Countdown timer
STE00002401	Play the sound for the last 3 seconds of the timer.
STE00002402	Final second sound ID
STE00002403	Editor ID of the sound to play for the final second when using countdown.
STE00002404	Double Jump
STE00002405	Allow jumping in mid-air.
STE00002406	Max Mid-air Jumps
STE00002407	Max additional jumps.
STE00002408	Mid-air Jump Height Scale
STE00002409	Scale applied to mid-air jumps.
STE00002410	Action Point cost to jump in mid-air.
STE00002411	Jump Sound
STE00002412	Sound played when jumping in mid-air.
STE00002413	Jump Volume
STE00002414	Time (in seconds) after falling where initial jumps don't increase the jump counter.
STE00002415	Mid-air Timer
STE00002416	Keep Fall Height
STE00002417	Don't reset the fall damage height when jumping in mid-air.
STE00002418	Require Power Armor
STE00002419	Require a power armor torso to double jump.
STE00002420	Required Perk
STE00002421	Editor ID of the perk required to allow double jumping.
STE00002422	Menu Search
STE00002423	Add Control F to search various menus.
STE00002424	Add to Map Menu
STE00002425	Add to Map Menu (Local Map, World Map, Quests, Notes, Challenges and Radio).
STE00002426	Add to Inventory Menu
STE00002427	Add to Inventory Menu (Pip-Boy).
STE00002428	Add to Stats Menu
STE00002429	Add to Stats Menu (Effects, Skills, Perks, Reputations, Misc Stats).
STE00002430	Add to Barter Menu
STE00002431	Add to Barter Menu.
STE00002432	Add to Container Menu
STE00002433	Add to Container Menu.
STE00002434	Add to Level Up Menu
STE00002435	Add to Level Up Menu (perks).
STE00002436	Add to Recipe Menu
STE00002437	Add to Recipe Menu.
STE00002438	Add to Save/Load Menu
STE00002439	Add to Save/Load Menu.
STE00002440	Remove filter when closing search
STE00002441	Refresh the menu when closing the search (disable if you want to use keyboard hotkeys to navigate filtered menus).
STE00002442	Clear input when reopening search
STE00002443	Clear the input string when focusing the search-bar, forced to 1 if bRemoveFilterWhenClosingSearch is also 1.
STE00002444	Quest search includes objectives
STE00002445	Also search objective text when searching for quests.
STE00002446	Quest search includes completed objectives
STE00002447	Include completed objectives if "Quest search includes objectives" is enabled.
STE00002448	Save Manager
STE00002449	Use incremental save slots for autosave, optionally fullsaving every rotation.
STE00002450	Reload Current Save key
STE00002451	Hotkey to reload the current loaded save (as if the player died).
STE00002452	Create Save key
STE00002453	Hotkey to create a named save.
STE00002454	Incremental Save key
STE00002455	Hotkey to create a slot save. e.g. Courier - Save 1, Courier - Save 2...
STE00002456	Maximum incremental saves
STE00002457	Number of incremental save slots, when the max slot is reached it will begin overwriting from slot 0.
STE00002458	Autosave timer
STE00002459	Delay between timed autosaves in seconds.
STE00002460	Maximum autosaves
STE00002461	Number of autosave slots, when the max slot is reached it will begin overwriting from slot 0.
STE00002462	Periodic fullsave
STE00002463	Create a named save every time the max slot is reached.
STE00002464	No autosave message
STE00002465	Hide the mod and vanilla autosave messages.
STE00002466	Save on "Location discovered"
STE00002467	Autosave when a location is discovered.
STE00002468	Save on "Quest completed"
STE00002469	Autosave when a quest is completed.
STE00002470	Save on game exit
STE00002471	Autosave when exiting the game.
STE00002472	Save on successful pickpocket exit
STE00002473	Autosave when closing the container menu after pickpocketing without getting caught.
STE00002474	Save on craft item
STE00002475	Autosave when closing the recipe menu after crafting an item.
STE00002476	Save before level up
STE00002477	Autosave before the Level Up Menu is shown.
STE00002478	Minimum autosave interval
STE00002479	Prevent autosaves within this time of each other (in seconds) - affects both vanilla and timed autosaves.
STE00002480	Incremental Save slot change interval
STE00002481	Only increase the incremental save slot if it's been this long since last slot change (in seconds); e.g. when set to 60 seconds, any saves made within 0-60s of the first save in a slot will all overwrite each other - after that a new slot is used.
STE00002482	No autosaves in combat
STE00002483	Prevent timed autosaves in combat ([Danger]), saves occur between 0-8 seconds after combat ends.
STE00002484	No autosaves in godmode
STE00002485	Prevent timed autosaves if godmode is enabled.
STE00002486	No scripted saves
STE00002487	Prevent scripts saving the game (via SaveGame, ForceSave, AutoSave and SystemSave commands) - does not prevent vanilla autosaves e.g. saving on cell enter, use the settings menu for those.
STE00002488	Add pause menu Quicksave button
STE00002489	Replace the pause menu's 'Continue' button with a button to create an incremental save.
STE00002490	Smooth True Ironsights Camera
STE00002491	Smooth the ironsights animation by interpolating between the non-aiming and aiming camera positions.
STE00002492	Aim transition time
STE00002493	Time taken to transition between the camera positions (in milliseconds).
STE00002494	WASD Menu Controls
STE00002495	Allows use of WASD keys in menus, and space to accept - will not function if the keys conflict with menu key-binds. Recommend pairing with VUI+ and the 'WASD Compatible' option.
STE00002496	Always allow WASD
STE00002497	Always allow WASD movement keys by ignoring WASD+E XML menu hotkeys.
STE00002498	Repeat WASD keys
STE00002499	Holding a WASD key repeats the action, as with arrow keys.
STE00002500	Space does not close containers
STE00002501	Stops the space key closing containers.
STE00002502	Inventory selection always visible
STE00002503	Stops the inventory selection disappearing when activating an item with keyboard input.
STE00002504	Containers default to right side
STE00002505	Makes the selection default to the right hand side when opening a container menu.
STE00002506	Shift scales map zoom speed
STE00002507	Holding shift scales the zoom speed.
STE00002508	Shift scales container arrow keys
STE00002509	Holding shift scales the arrow key scroll speed in containers.
STE00002510	Shift scales mousewheel
STE00002511	Holding shift scales the mouse-wheel scroll by 4 for all menus.
STE00002512	Map menu WASD
STE00002513	Holding alt allows WASD to move the map menu, up/down zooms.
STE00002514	Map menu WASD centers reticle
STE00002515	Using map menu WASD resets the selection reticle to the center of the screen.
STE00002516	Select with "E" key
STE00002517	Make the 'E' key behave like spacebar in menus.
STE00002518	Tab returns to inventory
STE00002519	Make Tab return to the Inventory rather than closing the PipBoy for the Weapon Mod and Repair menus.
STE00002520	List scroll wraparound
STE00002521	Make pressing up/down while at the top/bottom of a container jump to the bottom/top.
STE00002522	Auto highlight main menu continue button
STE00002523	Automatically highlight the 'Continue' option at the main menu.
STE00002524	None
STE00002525	Inline Vanilla Functions
STE00002526	Optimizes the most frequent/expensive functions for various scenarios to decrease save/loading times and improve general performance. If you're using 'New Vegas Tick Fix' make sure it's updated (v9.6+).
STE00002527	Misc
STE00002528	General inlines.
STE00002529	Pathing
STE00002530	Pathing inlines.
STE00002531	Save/Load
STE00002532	Saving/Loading inlines.
STE00002533	Menus
STE00002534	UI inlines.
STE00002535	Typecasts
STE00002536	Typecasting inlines.
STE00002537	Actors and Processes
STE00002538	Inlines related to actors and their processes.
STE00002539	Audio
STE00002540	Audio inlines.
STE00002541	Scripts
STE00002542	Script-engine inlines.
STE00002543	Rendering
STE00002544	Renderer inlines.

